 	Below 4 	4 	4.5 	5 	5.5 	6 	6.5 	7 	7.5 	8 	8.5 	9
Bangladesh 	1 	1 	3 	10 	18 	22 	18 	13 	9 	5 	1 	0
Brazil 	0 	1 	1 	4 	9 	17 	21 	20 	16 	9 	2 	0
Canada 	0 	0 	1 	3 	7 	15 	19 	21 	17 	12 	5 	0
China (People's Republic of) 	1 	2 	7 	15 	24 	24 	15 	8 	3 	1 	0 	0
Colombia 	0 	1 	2 	6 	13 	22 	22 	17 	12 	5 	1 	0
Egypt 	0 	1 	3 	7 	12 	18 	19 	19 	14 	6 	1 	0
France 	0 	0 	1 	3 	10 	17 	19 	20 	18 	10 	2 	0
Germany 			0 	0 	2 	5 	12 	19 	26 	26 	9 	0
Greece 	0 	0 	0 	1 	6 	12 	18 	22 	23 	15 	3 	0
Hong Kong 	0 	0 	1 	5 	13 	18 	20 	18 	15 	7 	2 	0
India 	0 	1 	3 	11 	24 	25 	17 	11 	6 	3 	0 	0
Indonesia 	0 	1 	2 	5 	14 	24 	23 	17 	10 	4 	1 	0
Iran, Islamic Republic of 	1 	1 	3 	8 	19 	25 	21 	13 	6 	2 	0 	0
Iraq 	3 	7 	15 	18 	17 	14 	10 	9 	6 	2 	0 	
Italy 	0 	0 	1 	3 	8 	16 	21 	21 	18 	9 	1 	0
Japan 	1 	2 	6 	16 	25 	23 	15 	8 	3 	1 	0 	0
Jordan 	1 	2 	6 	11 	18 	19 	17 	12 	9 	4 	1 	0
Kazakhstan 	2 	2 	3 	9 	21 	26 	19 	11 	6 	2 	0 	0
Korea, Republic of 	0 	1 	4 	12 	22 	25 	17 	10 	5 	2 	0 	0
Kuwait 	4 	7 	15 	23 	21 	14 	8 	5 	3 	1 	0 	
Malaysia 	0 	0 	1 	3 	8 	13 	16 	19 	20 	15 	5 	0
Mexico 	0 	1 	2 	5 	12 	20 	21 	18 	14 	6 	1 	0
Nepal 	0 	0 	2 	11 	30 	29 	16 	7 	3 	1 	0 	0
Nigeria 	0 	0 	1 	3 	7 	14 	20 	23 	20 	11 	1 	0
Oman 	4 	9 	17 	22 	23 	13 	6 	3 	2 	1 	0 	
Pakistan 	0 	1 	2 	8 	15 	19 	18 	17 	12 	6 	1 	0
Philippines 	0 	0 	0 	1 	4 	12 	24 	30 	21 	7 	1 	0
Romania 	0 	0 	1 	3 	9 	15 	20 	21 	18 	11 	2 	0
Russian Federation 	0 	0 	1 	3 	10 	16 	20 	21 	16 	10 	2 	0
Saudi Arabia 	5 	8 	16 	22 	21 	14 	8 	4 	2 	1 	0 	0
Spain 	0 	0 	0 	2 	7 	15 	21 	22 	19 	10 	2 	0
Sri Lanka 	0 	1 	3 	9 	15 	18 	18 	17 	12 	6 	2 	0
Sudan 	1 	1 	4 	9 	16 	20 	19 	16 	10 	4 	1 	
Taiwan 	0 	1 	3 	10 	21 	26 	19 	12 	6 	2 	0 	0
Thailand 	1 	1 	4 	13 	22 	23 	17 	11 	6 	2 	0 	
Turkey 	0 	1 	3 	9 	18 	23 	19 	14 	10 	4 	1 	0
Ukraine 	0 	0 	1 	4 	14 	22 	22 	18 	12 	6 	1 	
United Arab Emirates 	8 	14 	25 	20 	14 	9 	5 	3 	1 	1 	0 	0
Uzbekistan 	2 	4 	9 	19 	26 	20 	11 	6 	3 	1 	0 	
Vietnam 	1 	2 	6 	13 	20 	21 	16 	11 	7 	3 	0 	0
